player_id,distance_pixels,time_on_field_sec,avg_speed_pixels_per_sec
119,24.276678931694214,1.23,19.737137342840825
424,21.917049577060844,0.13,168.59268905431418
351,21.462783641968173,0.17,126.25166848216571
308,20.075484706879628,0.1,200.75484706879627
442,19.56607053539338,0.17,115.09453256113751
498,19.327332528952958,0.23,84.03188056066503
104,17.471679312934562,0.07,249.595418756208
195,16.51720082606629,0.07,235.96001180094697
174,14.81519149530863,0.1,148.1519149530863
120,12.939575824346976,0.2,64.69787912173487
152,12.93763814472965,0.13,99.5202934209973
513,11.92022492628097,0.07,170.28892751829954
769,11.918518526968114,0.07,170.26455038525876
380,11.204662723777606,0.1,112.04662723777605
106,10.31833692472755,0.07,147.40481321039357
125,10.034430556399496,0.17,59.02606209646762
272,10.029151456924962,0.17,58.99500857014684
99,9.864712496506815,0.13,75.8824038192832
10,9.769942440516376,0.07,139.57060629309106
77,8.543552478282432,0.13,65.7196344483264
134,7.84531501558075,0.37,21.20355409616419
109,7.4536303662733,0.13,57.3356182021023
484,7.250038141027482,0.07,103.57197344324973
128,7.232371773323627,0.13,55.63362902556636
379,7.080197032324588,0.07,101.14567189035125
175,6.045207016770362,0.13,46.50159243669509
409,5.820522852431121,0.07,83.15032646330172
300,4.083289023489098,0.07,58.33270033555854
149,2.8495836127123493,0.13,21.91987394394115
732,2.152315923862277,0.07,30.74737034088967
796,1.3803013901034538,0.07,19.718591287192194
497,0.8505731970657084,0.07,12.151045672367262
143,0.8065091457773669,0.07,11.521559225390954
376,0.7005423965142349,0.07,10.007748521631926
3,0.04647831155996918,0.07,0.6639758794281311
170,0.0,0.03,0.0
232,0.0,0.03,0.0
213,0.0,0.03,0.0
203,0.0,0.03,0.0
190,0.0,0.03,0.0
189,0.0,0.03,0.0
164,0.0,0.03,0.0
163,0.0,0.03,0.0
118,0.0,0.03,0.0
43,0.0,0.03,0.0
54,0.0,0.03,0.0
74,0.0,0.03,0.0
85,0.0,0.03,0.0
100,0.0,0.03,0.0
26,0.0,0.03,0.0
33,0.0,0.03,0.0
34,0.0,0.03,0.0
130,0.0,0.03,0.0
133,0.0,0.03,0.0
136,0.0,0.03,0.0
123,0.0,0.03,0.0
158,0.0,0.03,0.0
103,0.0,0.03,0.0
113,0.0,0.03,0.0
333,0.0,0.03,0.0
446,0.0,0.03,0.0
450,0.0,0.03,0.0
457,0.0,0.03,0.0
438,0.0,0.03,0.0
464,0.0,0.03,0.0
404,0.0,0.03,0.0
430,0.0,0.03,0.0
435,0.0,0.03,0.0
412,0.0,0.03,0.0
397,0.0,0.03,0.0
377,0.0,0.03,0.0
378,0.0,0.03,0.0
336,0.0,0.03,0.0
335,0.0,0.03,0.0
334,0.0,0.03,0.0
359,0.0,0.03,0.0
292,0.0,0.03,0.0
263,0.0,0.03,0.0
234,0.0,0.03,0.0
237,0.0,0.03,0.0
246,0.0,0.03,0.0
241,0.0,0.03,0.0
254,0.0,0.03,0.0
249,0.0,0.03,0.0
332,0.0,0.03,0.0
559,0.0,0.03,0.0
558,0.0,0.03,0.0
512,0.0,0.03,0.0
534,0.0,0.03,0.0
535,0.0,0.03,0.0
536,0.0,0.03,0.0
537,0.0,0.03,0.0
667,0.0,0.03,0.0
666,0.0,0.03,0.0
650,0.0,0.03,0.0
649,0.0,0.03,0.0
648,0.0,0.03,0.0
647,0.0,0.03,0.0
613,0.0,0.03,0.0
612,0.0,0.03,0.0
611,0.0,0.03,0.0
610,0.0,0.03,0.0
609,0.0,0.03,0.0
577,0.0,0.03,0.0
576,0.0,0.03,0.0
575,0.0,0.03,0.0
668,0.0,0.03,0.0
669,0.0,0.03,0.0
724,0.0,0.03,0.0
713,0.0,0.03,0.0
693,0.0,0.03,0.0
694,0.0,0.03,0.0
695,0.0,0.03,0.0
696,0.0,0.03,0.0
711,0.0,0.03,0.0
712,0.0,0.03,0.0
793,0.0,0.03,0.0
783,0.0,0.03,0.0
768,0.0,0.03,0.0
821,0.0,0.03,0.0
841,0.0,0.03,0.0
842,0.0,0.03,0.0
863,0.0,0.03,0.0
881,0.0,0.03,0.0
